epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,115.617,1.16714,3.47449,0.96176,0.02354,0.68093,0.03004,0.01953,0.56708,4.1404,0.80097,0.00066,0.00022,0.00066,0.00022,0.00066,0.00022,0.00066,0.00022
2,213.559,1.01134,3.22967,0.91355,0.02966,0.85807,0.05042,0.03483,0.55174,4.19512,0.78914,0.00131169,0.00043723,0.00131169,0.00043723,0.00131169,0.00043723,0.00131169,0.00043723
3,310.692,0.98266,2.75423,0.89021,0.03223,0.93229,0.07056,0.05081,0.51475,4.04837,0.77595,0.0018921,0.0006307,0.0018921,0.0006307,0.0018921,0.0006307,0.0018921,0.0006307
4,404.591,0.91248,1.89643,0.88676,0.03346,0.96804,0.18989,0.15003,0.51608,3.86641,0.76985,0.00240123,0.00080041,0.00240123,0.00080041,0.00240123,0.00080041,0.00240123,0.00080041
5,503.189,0.90173,1.18502,0.87089,0.98554,0.36921,0.87832,0.68334,0.51701,3.55445,0.76929,0.00283908,0.00094636,0.00283908,0.00094636,0.00283908,0.00094636,0.00283908,0.00094636
6,597.351,0.82688,1.0116,0.86136,0.98579,0.70802,0.9626,0.7675,0.4989,3.34043,0.76191,0.00320565,0.00106855,0.00320565,0.00106855,0.00320565,0.00106855,0.00320565,0.00106855
7,693.109,0.87194,1.0563,0.86117,0.96834,0.74485,0.96333,0.77737,0.49242,3.20992,0.7575,0.00350094,0.00116698,0.00350094,0.00116698,0.00350094,0.00116698,0.00350094,0.00116698
8,790.701,0.80513,0.85499,0.85871,0.95155,0.8512,0.96747,0.7866,0.49202,2.9998,0.75716,0.00372495,0.00124165,0.00372495,0.00124165,0.00372495,0.00124165,0.00372495,0.00124165
9,885.915,0.80488,0.80223,0.83884,0.95199,0.92371,0.97937,0.81167,0.46306,2.65487,0.75531,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
10,979.889,0.81605,1.17828,0.88138,0.95773,0.94504,0.98477,0.82907,0.46556,2.39234,0.75435,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
11,1073.84,0.68008,1.37693,0.82299,0.95455,0.94432,0.98332,0.82497,0.47231,2.30387,0.75436,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
12,1166.08,0.61827,4.21555,0.76234,0.94871,0.93192,0.9816,0.82012,0.45957,2.28932,0.75191,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
13,1260.57,0.71905,0.82013,0.82866,0.94883,0.948,0.98611,0.83626,0.45674,2.22879,0.74961,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
14,1353.84,0.68762,0.87551,0.83828,0.95198,0.96858,0.99006,0.83896,0.44595,2.13117,0.75194,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
15,1446.87,0.65973,1.11927,0.83457,0.96621,0.96587,0.99142,0.84078,0.4435,2.04369,0.74722,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
16,1543.23,0.61783,0.8311,0.82585,0.96926,0.96696,0.99164,0.84428,0.42691,1.97144,0.74628,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
17,1636.44,0.61081,1.02792,0.82421,0.96976,0.96696,0.99184,0.84817,0.41843,1.89776,0.74509,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
18,1730.17,0.61203,0.88095,0.81622,0.97112,0.96966,0.99198,0.85414,0.41301,1.84234,0.7442,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
19,1824.52,0.61308,1.01094,0.8122,0.97127,0.97047,0.99219,0.85371,0.42257,1.80095,0.74335,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
20,1921.21,0.62512,1.34753,0.80274,0.97382,0.9673,0.99236,0.85834,0.4216,1.78948,0.74258,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
